-500	0.002
-490	0.004
-480	0.004
-470	0.006
-460	0.006
-450	0.006
-440	0.006
-430	0.006
-420	0.01
-410	0.014
-400	0.018
-390	0.03
-380	0.048
-370	0.058
-360	0.072
-350	0.088
-340	0.11
-330	0.124
-320	0.144
-310	0.182
-300	0.222
-290	0.272
-280	0.338
-270	0.412
-260	0.506
-250	0.604
-240	0.742
-230	0.872
-220	1.06
-210	1.28
-200	1.508
-190	1.698
-180	1.992
-170	2.28
-160	2.608
-150	2.914
-140	3.294
-130	3.698
-120	4.138
-110	4.592
-100	5.122
-90	5.66
-80	6.218
-70	6.784
-60	7.402
-50	8.082
-40	8.702
-30	9.304
-20	10.016
-10	10.794
0	11.566
10	12.264
20	13.01
30	13.786
40	14.522
50	15.412
60	16.234
70	17.064
80	17.868
90	18.608
100	19.442
110	20.324
120	21.17
130	21.96
140	22.792
150	23.59
160	24.472
170	25.264
180	26.056
190	26.894
200	27.682
